actor,director,gender
Richard Schiff,Agnieszka Holland,m
Richard Schiff,Kathryn Bigelow,m
Richard Schiff,Dee Rees,m
Richard Schiff,Allison Anders,m
Richard Schiff,Kimberly Peirce,m
Richard Schiff,Martha Coolidge,m
Anna Paquin,Agnieszka Holland,f
Anna Paquin,Mary Harron,f
Anna Paquin,Jane Campion,f
Anna Paquin,Dee Rees,f
Anna Paquin,Allison Anders,f
Emily Browning,Agnieszka Holland,f
Emily Browning,Allison Anders,f
Emily Browning,Catherine Hardwick,f
Irène Jacob,Agnieszka Holland,f
Irène Jacob,Allison Anders,f
Christopher Meyer,Agnieszka Holland,m
Christopher Meyer,Cheryl Dunye,m
Christopher Meyer,Allison Anders,m
Nicolette Robinson,Agnieszka Holland,f
Nicolette Robinson,Allison Anders,f
Max Fowler,Agnieszka Holland,m
Max Fowler,Patty Jenkins,m
Max Fowler,Allison Anders,m
Stephen Kunken,Agnieszka Holland,m
Stephen Kunken,Karyn Kusama,m
Stephen Kunken,Susan Seidelman,m
Stephen Kunken,Allison Anders,m
Claes Bang,Agnieszka Holland,m
Claes Bang,Allison Anders,m
Deirdre O'Connell,Agnieszka Holland,f
Deirdre O'Connell,Donna Deitch,f
Deirdre O'Connell,Kelly Reichardt,f
Deirdre O'Connell,Allison Anders,f
Deirdre O'Connell,Nicole Holofcener,f
Teresa Yenque,Agnieszka Holland,f
Teresa Yenque,Susan Seidelman,f
Teresa Yenque,Allison Anders,f
Reagan Grella,Agnieszka Holland,f
Reagan Grella,Allison Anders,f
Savannah Grella,Agnieszka Holland,f
Savannah Grella,Allison Anders,f
Brooke Lyons,Agnieszka Holland,f
Brooke Lyons,Allison Anders,f
Zenobia Shroff,Agnieszka Holland,f
Zenobia Shroff,Allison Anders,f
Jennifer Esposito,Agnieszka Holland,f
Jennifer Esposito,Donna Deitch,f
Jennifer Esposito,Allison Anders,f
Jennifer Esposito,Martha Coolidge,f
Ramon Rodriguez,Agnieszka Holland,m
Ramon Rodriguez,Allison Anders,m
Adam Shapiro,Agnieszka Holland,m
Adam Shapiro,Lana Wachowski,m
Adam Shapiro,Lilly Wachowski,m
Adam Shapiro,Patty Jenkins,m
Adam Shapiro,Allison Anders,m
Zuhair Haddad,Agnieszka Holland,m
Zuhair Haddad,Allison Anders,m
Russell Hornsby,Agnieszka Holland,m
Russell Hornsby,Mary Harron,m
Russell Hornsby,Allison Anders,m
Quinn VanAntwerp,Agnieszka Holland,m
Quinn VanAntwerp,Allison Anders,m
Clay Hollander,Agnieszka Holland,m
Clay Hollander,Allison Anders,m
Michael Pemberton,Agnieszka Holland,m
Michael Pemberton,Allison Anders,m
Lavinia Jones Wright,Agnieszka Holland,f
Lavinia Jones Wright,Allison Anders,f
Jonathan Cake,Agnieszka Holland,m
Jonathan Cake,Mary Harron,m
Jonathan Cake,Donna Deitch,m
Jonathan Cake,Allison Anders,m
Karina Logue,Agnieszka Holland,f
Karina Logue,Cheryl Dunye,f
Karina Logue,Allison Anders,f
Michael Braun,Agnieszka Holland,m
Michael Braun,Allison Anders,m
Mireille Enos,Agnieszka Holland,f
Mireille Enos,Mary Harron,f
Mireille Enos,Patty Jenkins,f
Billy Campbell,Agnieszka Holland,m
Billy Campbell,Patty Jenkins,m
Billy Campbell,Claudia Weill,m
Billy Campbell,Martha Coolidge,m
Liam James,Agnieszka Holland,m
Liam James,Patty Jenkins,m
Liam James,Martha Coolidge,m
Liam James,Susanne Bier,m
Michelle Forbes,Agnieszka Holland,f
Michelle Forbes,Barbara Kopple,f
Michelle Forbes,Kathryn Bigelow,f
Michelle Forbes,Karyn Kusama,f
Michelle Forbes,Lisa Cholodenko,f
Michelle Forbes,Patty Jenkins,f
Brent Sexton,Agnieszka Holland,m
Brent Sexton,Donna Deitch,m
Brent Sexton,Lisa Cholodenko,m
Brent Sexton,Patty Jenkins,m
Kristin Lehman,Agnieszka Holland,f
Kristin Lehman,Donna Deitch,f
Kristin Lehman,Patty Jenkins,f
Eric Ladin,Agnieszka Holland,m
Eric Ladin,Patty Jenkins,m
Eric Ladin,Kimberly Peirce,m
Jamie Anne Allman,Agnieszka Holland,f
Jamie Anne Allman,Patty Jenkins,f
Evan Bird,Agnieszka Holland,m
Evan Bird,Patty Jenkins,m
Seth Isaac Johnson,Agnieszka Holland,m
Seth Isaac Johnson,Patty Jenkins,m
Tom Butler,Agnieszka Holland,m
Tom Butler,Patty Jenkins,m
Tom Butler,Sarah Polley,m
Annie Corley,Agnieszka Holland,f
Annie Corley,Patty Jenkins,f
Gregg Henry,Agnieszka Holland,m
Gregg Henry,Mary Harron,m
Gregg Henry,Ava DuVernay,m
Gregg Henry,Donna Deitch,m
Gregg Henry,Lisa Cholodenko,m
Gregg Henry,Patty Jenkins,m
Gregg Henry,Catherine Hardwick,m
Gregg Henry,Nicole Holofcener,m
Brendan Sexton III,Agnieszka Holland,m
Brendan Sexton III,Patty Jenkins,m
Amy Seimetz,Agnieszka Holland,f
Amy Seimetz,Patty Jenkins,f
Garry Chalk,Agnieszka Holland,m
Garry Chalk,Patty Jenkins,m
Katie Findlay,Agnieszka Holland,f
Katie Findlay,Amy Heckerling,f
Katie Findlay,Patty Jenkins,f
Hugh Dillon,Agnieszka Holland,m
Hugh Dillon,Debra Granik,m
Hugh Dillon,Patty Jenkins,m
Bex Taylor-Klaus,Agnieszka Holland,f
Bex Taylor-Klaus,Lisa Cholodenko,f
Bex Taylor-Klaus,Patty Jenkins,f
Julia Sarah Stone,Agnieszka Holland,f
Julia Sarah Stone,Patty Jenkins,f
Peter Sarsgaard,Agnieszka Holland,m
Peter Sarsgaard,Julie Dash,m
Peter Sarsgaard,Kathryn Bigelow,m
Peter Sarsgaard,Kelly Reichardt,m
Peter Sarsgaard,Lisa Cholodenko,m
Peter Sarsgaard,Patty Jenkins,m
Aaron Douglas,Agnieszka Holland,m
Aaron Douglas,Patty Jenkins,m
Brandon Jay McLaren,Agnieszka Holland,m
Brandon Jay McLaren,Mary Harron,m
