actor,film,gender
Vondie Curtis-Hall,Dr. Hugo,m
Vondie Curtis-Hall,Harriet,m
Vondie Curtis-Hall,Chicago Hope,m
J.E. Freeman,Fallen Angels,m
J.E. Freeman,Carolina,m
Robert Wieckiewicz,In Darkness,m
Robert Wieckiewicz,1983,m
Benno Fürmann,In Darkness,m
Benno Fürmann,Speed Racer,m
Agnieszka Grochowska,In Darkness,f
Agnieszka Grochowska,Ekipa,f
Julia Kijowska,In Darkness,f
Julia Kijowska,Without Secrets,f
Piotr Glowacki,In Darkness,m
Piotr Glowacki,Without Secrets,m
Michal Zurawski,In Darkness,m
Michal Zurawski,Ekipa,m
Piotr Nowak,In Darkness,m
Piotr Nowak,Ekipa,m
Olena Leonenko,In Darkness,f
Olena Leonenko,Mr. Jones,f
Ireneusz Czop,In Darkness,m
Ireneusz Czop,Without Secrets,m
Joachim Paul Assböck,In Darkness,m
Joachim Paul Assböck,Charlatan,m
Giovanni Ribisi,Shot in the Heart,m
Giovanni Ribisi,The Virgin Suicides,m
Giovanni Ribisi,Lost in Translation,m
Giovanni Ribisi,Selma,m
Lee Tergesen,Shot in the Heart,m
Lee Tergesen,Oz,m
Lee Tergesen,Homicide: Life on the Street (1997-1999),m
Lee Tergesen,Point Break,m
Lee Tergesen,Wild Palms,m
Lee Tergesen,Homicide: Life on the Street (1998-1999),m
Lee Tergesen,Army Wives,m
Lee Tergesen,A Gifted Man,m
Lee Tergesen,Homicide: Life on the Street,m
Lee Tergesen,Monster,m
Lee Tergesen,Wayne's World,m
Elias Koteas,Shot in the Heart,m
Elias Koteas,The Killing (2011-2012),m
Elias Koteas,Look Who's Talking Too,m
Amy Madigan,Shot in the Heart,f
Amy Madigan,The Ranch,f
Eric Bogosian,Shot in the Heart,m
Eric Bogosian,Billions (2016-2017),m
Eric Bogosian,The Twilight Zone,m
Eric Bogosian,The Twilight Zone (1985-1987),m
Richard Pilcher,Shot in the Heart,m
Richard Pilcher,Homicide: Life on the Street (1997-1999),m
Richard Pilcher,Homicide: Life on the Street (1998-1999),m
Richard Pilcher,Homicide: Life on the Street,m
Arthur Laupus,Shot in the Heart,m
Arthur Laupus,Washington Square,m
Francesco Scorsone,Shot in the Heart,m
Francesco Scorsone,Riding in Cars with Boys,m
Rick Kain,Shot in the Heart,m
Rick Kain,Wonder Woman 1984,m
David Parker,Shot in the Heart,m
David Parker,EZ Streets,m
Jennifer Jason Leigh,Washington Square,f
Jennifer Jason Leigh,Fast Times at Ridgemont High,f
Jennifer Jason Leigh,In the Cut,f
Jennifer Jason Leigh,Weeds,f
Maggie Smith,Washington Square,f
